id_category	name_category	type_category	network_type
80	TCGA-KICH	Cancer Tissue	Gene Co-Expression Network
81	TCGA-BRCA	Cancer Tissue	Gene Co-Expression Network
82	TCGA-COAD	Cancer Tissue	Gene Co-Expression Network
83	TCGA-CESC	Cancer Tissue	Gene Co-Expression Network
84	TCGA-LUAD	Cancer Tissue	Gene Co-Expression Network
85	TCGA-LUSC	Cancer Tissue	Gene Co-Expression Network
86	TCGA-STAD	Cancer Tissue	Gene Co-Expression Network
87	Uhlen_ALL_delta.txt	SCAPIS - SciLifeLab Wellness Profiling study	Multi-Omics Network
88	Uhlen_ALL_long.txt	SCAPIS - SciLifeLab Wellness Profiling study	Multi-Omics Network
89	Uhlen_f_delta.txt	SCAPIS - SciLifeLab Wellness Profiling study	Multi-Omics Network
90	Uhlen_f_long.txt	SCAPIS - SciLifeLab Wellness Profiling study	Multi-Omics Network
91	Uhlen_m_delta.txt	SCAPIS - SciLifeLab Wellness Profiling study	Multi-Omics Network
92	Uhlen_m_long.txt	SCAPIS - SciLifeLab Wellness Profiling study	Multi-Omics Network
93	Hood_ALL_delta.txt	P100 Study	Multi-Omics Network
94	Hood_ALL_long.txt	P100 Study	Multi-Omics Network
95	Hood_F_delta.txt	P100 Study	Multi-Omics Network
96	Hood_F_long.txt	P100 Study	Multi-Omics Network
97	Hood_M_delta.txt	P100 Study	Multi-Omics Network
98	Hood_M_long.txt	P100 Study	Multi-Omics Network
99	Sneyder_ALL_delta.txt	Integrative Personal Omics Study (Male Only)	Multi-Omics Network
100	Sneyder_ALL_long.txt	Integrative Personal Omics Study (Male Only)	Multi-Omics Network
101	Sneyder_IR_delta.txt	Integrative Personal Omics Study (Male Only)	Multi-Omics Network
102	Sneyder_IR_long.txt	Integrative Personal Omics Study (Male Only)	Multi-Omics Network
103	Sneyder_IS_delta.txt	Integrative Personal Omics Study (Male Only)	Multi-Omics Network
104	Sneyder_IS_long.txt	Integrative Personal Omics Study (Male Only)	Multi-Omics Network
